scientific_name,common_name,reads_count
Misgurnus mizolepis,미꾸라지,156
Pseudorasbora parva,참붕어,77
Zacco platypus,피라미,500
Odontobutis interrupta,얼록동사리,3287
Gnathopogon strigatus,줄몰개,6336
Hemibarbus longirostris,참마자,1866
Lepomis macrochirus,블루길,512
Micropterus salmoides,배스,432
Misgurnus anguillicaudatus,미꾸리,70
Phoxinus oxycephalus jouyi,버들치,351
Pseudogobio vaillanti,모래무지,4620
Pseudorasbora parva,참붕어,57
