scientific_name,common_name,reads_count
Zacco platypus,피라미,63787
Odontobutis interrupta,얼록동사리,31412
Gnathopogon strigatus,줄몰개,6590
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,2081
Pseudogobio vaillanti,모래무지,1478
Silurus soldatovi,메기,1301
Misgurnus mizolepis,미꾸라지,1255
Hemibarbus maculatus,점줄마자,799
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,723
Channa argus kimurai,가물치,537
Phoxinus oxycephalus jouyi,버들치,372
Hemibarbus longirostris,참마자,324
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,288
Misgurnus anguillicaudatus,미꾸리,189
Carassius auratus ssp. 'Pingxiang',붕어,120
