scientific_name,common_name,reads_count
Zacco platypus,피라미,93091
Odontobutis interrupta,얼록동사리,35930
Gnathopogon strigatus,줄몰개,9219
Misgurnus mizolepis,미꾸라지,7051
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,5783
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,5381
Pseudogobio vaillanti,모래무지,2784
Hemibarbus longirostris,참마자,2237
Rhinogobius sp. IDEA Fish474,망둑어,352
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,328
Hemibarbus maculatus,점줄마자,316
Misgurnus anguillicaudatus,미꾸리,162
