scientific_name,common_name,reads_count
Zacco platypus,피라미,89009
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,21199
Pseudogobio vaillanti,모래무지,15979
Odontobutis interrupta,얼록동사리,10849
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,9897
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,9759
Hemibarbus maculatus,점줄마자,7228
Gnathopogon strigatus,줄몰개,6336
Micropterus salmoides,배스,3252
Hemibarbus longirostris,참마자,1866
Channa argus kimurai,가물치,783
Plecoglossus altivelis altivelis,은어,255
cf. Bagridae sp. XL-2016,동자개,84
Silurus soldatovi,메기,83
