scientific_name,common_name,reads_count
Zacco platypus,피라미,45290
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,30385
Odontobutis interrupta,얼록동사리,15508
Pseudogobio vaillanti,모래무지,4374
Gnathopogon strigatus,줄몰개,3225
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,2410
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,1630
Hemibarbus maculatus,점줄마자,1336
Rhinogobius sp. IDEA Fish474,망둑어,1182
Lepomis cyanellus,블루길,1017
Micropterus salmoides,배스,951
Hemibarbus longirostris,참마자,406
Misgurnus mizolepis,미꾸라지,292
Culter alburnus x Megalobrama terminalis,떡붕어,120
Silurus soldatovi,메기,105
