scientific_name,common_name,reads_count
Zacco platypus,피라미,95522
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,27902
Odontobutis interrupta,얼록동사리,17492
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,15332
Pseudogobio vaillanti,모래무지,13421
Gnathopogon strigatus,줄몰개,2974
Hemibarbus maculatus,점줄마자,2525
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,2478
Hemibarbus longirostris,참마자,1496
Tridentiger obscurus,검정망둑,665
Carassius auratus ssp. 'Pingxiang',붕어,610
Misgurnus mizolepis,미꾸라지,586
Silurus soldatovi,메기,469
cf. Bagridae sp. XL-2016,동자개,13
