scientific_name,common_name,reads_count
Zacco platypus,피라미,30354
Odontobutis interrupta,얼록동사리,26466
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,11451
Pseudogobio vaillanti,모래무지,4291
Gnathopogon strigatus,줄몰개,3377
Micropterus salmoides,배스,2489
Hemibarbus maculatus,점줄마자,2374
Hemibarbus longirostris,참마자,1698
Misgurnus mizolepis,미꾸라지,915
Channa argus kimurai,가물치,887
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,769
Carassius auratus ssp. 'Pingxiang',붕어,638
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,536
Rhinogobius sp. IDEA Fish474,망둑어,532
Silurus soldatovi,메기,323
Acheilognathus rhombeus,납자루,234
Culter alburnus x Megalobrama terminalis,떡붕어,171
