scientific_name,common_name,reads_count
Zacco platypus Korea,피라미,19776
Cyprinus carpio carpio,잉어,13301
Rhinogobius sp OM,망둑어,6851
Hemibarbus maculatus,점줄마자,3595
Pseudogobio esocinus KOREA,모래무지,2081
Pseudogobio vaillanti,모래무지,1841
Gnathopogon strigatus,줄몰개,1314
Carassius gibelio,붕어,1186
Odontobutis interrupta,얼록동사리,890
Carassius auratus auratus,붕어,470
Hemibarbus longirostris,참마자,441
Channa argus,가물치,430
Pseudobagrus crassilabris,동자개,278
Culter alburnus,떡붕어,222
Micropterus salmoides,배스,191
Lepomis macrochirus,블루길,114
Silurus asotus,메기,94
Misgurnus anguillicaudatus Kyoto KamoGawa,미꾸리,34
