scientific_name,common_name,reads_count
Zacco platypus,피라미,53047
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,33789
Odontobutis interrupta,얼록동사리,31111
Pseudogobio vaillanti,모래무지,5304
Micropterus salmoides,배스,4409
Hemibarbus maculatus,점줄마자,4110
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,3804
Rhinogobius sp. IDEA Fish474,망둑어,3225
Carassius auratus ssp. 'Pingxiang',붕어,2105
Gnathopogon strigatus,줄몰개,2030
Hemibarbus longirostris,참마자,1977
Misgurnus mizolepis,미꾸라지,1775
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,1212
Channa argus kimurai,가물치,1184
Silurus soldatovi,메기,304
Lepomis cyanellus,블루길,155
Phoxinus oxycephalus jouyi,버들치,139
Nipponocypris temminckii,쉬리,131
Pseudorasbora parva,참붕어,106
Paramisgurnus dabryanus,미꾸리,72
Misgurnus anguillicaudatus x Paramisgurnus dabryanus,미꾸리,67
Phoxinus oxycephalus,버들치,42
