scientific_name,common_name,reads_count
Zacco platypus,피라미,28166
androgenetic Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,24087
Hemibarbus maculatus,점줄마자,12448
Odontobutis interrupta,얼록동사리,8893
autotetraploid Carassius auratus red var. x Megalobrama amblycephala,붕어 교잡종,7342
Pseudogobio vaillanti,모래무지,5551
Micropterus salmoides,배스,2800
Channa argus kimurai,가물치,2652
Gnathopogon strigatus,줄몰개,2403
Pungtungia herzi x Pseudopungtungia nigra,참중고기 X 꾸구리,1672
Hemibarbus longirostris,참마자,1653
Silurus soldatovi,메기,1114
Culter alburnus x Megalobrama terminalis,떡붕어,448
Acheilognathus yamatsutae,줄납자루,371
Rhinogobius sp. IDEA Fish474,망둑어,135
cf. Bagridae sp. XL-2016,동자개,95
Lepomis cyanellus,블루길,88
